reindex,Index,CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,LITHOLOGY CODE,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,V(PPM),MN(PPM),AS(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),U(PPB),ND143_ND144,Eu/Eu* 
1,4,[46] SPENGLER S. (1988),samp. H-84-25,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES,,20.23,20.23,-155.8,-155.8,subaerial,,,MUGEARITE,FINE-GRAINED INTERGRANULAR APHYRIC,,,fresh,missing,,,,,primary,,,,,,,,,,475,530,110,635,,,,,,,,,,,,,,,,,
2,6,[46] SPENGLER S. (1988),samp. H-84-62,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES,,20.23,20.23,-155.8,-155.8,subaerial,,,BENMOREITE,PORPHYRITIC,,,fresh,missing,,,,,primary,,,,,,,,,,790,1990,140,920,,,,,,,,,,,,,,,,,
3,7,[46] SPENGLER S. (1988),samp. H-84-61,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES,,20.23,20.23,-155.8,-155.8,subaerial,,,TRACHYTE,,,,fresh,missing,,,,,primary,,,,,,,,,,490,1025,173,865,,,,,,,,,,,,,,,,,
4,8,[457] HAURI E. H. (1993),samp. 90SAV1-1,OCEAN ISLAND,SAMOAN ISLANDS / SAVAI^I,,-13.5,-13.5,-172.5,-172.5,subaerial,,,HARZBURGITE XENOLITH,,,,,missing,,,,,primary,,,,,7050,,6.14,0.1,538,1400,3420,,1240,155,49,,,72,,32,,20,,,,,,,,
5,9,[457] HAURI E. H. (1993),samp. TBA1-9,OCEAN ISLAND,AUSTRAL-COOK ISLANDS / TUBUAI,,-23.38,-23.38,-149.45,-149.45,subaerial,,,WEHRLITE XENOLITH,MILDLY PORPHYROCLASTIC,,,,missing,,,,,primary,,,,,9840,,4,0.1,845,2006,5552,,3272,638,197,,,234,,92,,51,,,,,,,,
6,10,[457] HAURI E. H. (1993),samp. TBA4-11,OCEAN ISLAND,AUSTRAL-COOK ISLANDS / TUBUAI,,-23.38,-23.38,-149.45,-149.45,subaerial,,,DUNITE XENOLITH,CUMULATE,,,,missing,,,,,primary,,,,,12300,,7.74,0.1,1040,2940,7000,,2280,263,81,,,119,,62,,45,,,,,,,,
7,38,[1453] WULFF-PEDERSEN E. (1999),samp. PAT2-62III-1,OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN ANTONIO,,28.53,28.53,-17.8,-17.8,subaerial,,,DUNITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,980,1779,,772,128,31,98,,52,,17,,10,,,,,,,,0.598119953
8,39,[1453] WULFF-PEDERSEN E. (1999),samp. PAT2-62III-2,OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN ANTONIO,,28.53,28.53,-17.8,-17.8,subaerial,,,DUNITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,1252,2228,,889,136,33,99,,53,,18,,11,,,,,,,,0.611458446
9,40,[1453] WULFF-PEDERSEN E. (1999),samp. PAT2-62III-3,OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN ANTONIO,,28.53,28.53,-17.8,-17.8,subaerial,,,DUNITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,698,1460,,733,126,31,91,,49,,15,,9,,,,,,,,0.64922119
10,69,[3559] MENZIES M. A. (1985),samp. ENO2,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / ARIZONA / GERONIMO VOLCANIC FIELD,,31.4,31.7,-109.1,-109.4,subaerial,,,NOT GIVEN,UNFOLIATED GRANOBLASTIC-EQUANT TO COARSE EQUANT,,,,missing,,,,,primary,,,,,,,,,,899,1940,,815,128,32.9,93.5,,67.4,,30.4,,20.4,,,,,,,0.513003,0.665329775
11,70,[3559] MENZIES M. A. (1985),samp. 22-16A,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / ARIZONA / GERONIMO VOLCANIC FIELD,,31.4,31.7,-109.1,-109.4,subaerial,,,NOT GIVEN,UNFOLIATED GRANOBLASTIC-EQUANT TO COARSE EQUANT,,,,missing,,,,,primary,,,,,,,,,,1040,1970,,800,119,34.1,98.9,,62.5,,27.5,,19.8,,,,,,,,0.676148773
12,95,[3965] LUHR J. F. (1984),samp. 6,CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / CHIAPAS / EL CHICHON,,17.36,17.36,-93.23,-93.23,subaerial,,,TRACHYANDESITE APATITE,,,,,missing,,,,,primary,,1070,,,,,,,,744,1530,,611,99.7,21.7,,10.7,56.3,,,,23.4,3.2,,,33.7,10.5,,,
13,119,[4604] UPTON B. G. J. (1999),samp. LR57,INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON / SCOTLAND / LEWISIAN GNEISS COMPLEX / SCOURIE DIKES,,57.9,58.4,-5.15,-5.16,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,8769,145,22.3,,65.8,907,1905,235,1031,140,48.2,85.3,9.66,47.8,7.29,15.8,1.78,8.99,1.04,,,11.2,1.73,,,1.021625317
14,120,[4604] UPTON B. G. J. (1999),samp. FD305,INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON / SCOTLAND / MIDLAND VALLEY SCOTLAND,FIDRA,56.08,56.08,-2.78,-2.78,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,2518,199,,,57.8,579,1215,150,695,103,36.1,70.9,8.9,46.2,7.43,14.6,1.74,6.91,0.55,,,3.98,1.07,,,1.073247812
15,121,[4604] UPTON B. G. J. (1999),samp. FD86,INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON / SCOTLAND / MIDLAND VALLEY SCOTLAND,FIDRA,56.08,56.08,-2.78,-2.78,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,1655,677,,,15.9,3595,6628,688,2649,410,94,297,,173,26.9,69.1,8.6,40.7,5.31,,,48.6,13,,,0.334377567
16,122,[4604] UPTON B. G. J. (1999),samp. GRB117,CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE / MORAR FORMATION,MULL GRIBUN 18KM NW OF THE GREAT GLEN FAULT,56.4,56.4,-6.2,-6.2,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,2610,629,6.92,,316,3567,6858,730,3020,513,122,390,42.9,201,32.5,70,10.9,43.3,5.65,,,124,30.25,,,0.295456942
